source,dataset_or_document,provider,model,task,prompt_tokens,completion_tokens,cached_prompt_tokens,usd,latency_ms,ok,input_cost_per_1m,output_cost_per_1m,license_or_terms,retrieved_at
HuggingFace,mario0369/llm-cost-same-prompt,other,deepseek-v4-flash,baseline,5,6,0,0.000006,6864,1,,,CC-BY-4.0,2026-09-13
HuggingFace,mario0369/llm-cost-same-prompt,openai,gpt-5.4-mini,baseline,,,0,,732,0,,,CC-BY-4.0,2026-09-13
Anthropic,Claude Sonnet 5 pricing,anthropic,claude-sonnet-5,,,,,,,,2,10,official-public-pricing,2026-09-13
